orderNo,vendor,vendorOrderNo,orderDate,paymentMethod,shippingMethod,trackingNumber,sku,qty,received,price
587,Amazon,?112-6131929-4281069,2025-08-21,3005,,,239815,1,2025-08-27,12.7093997413054
588,Amazon,114-3901778-7848206,2025-08-22,3005,,,181145,1,2025-08-23,56.1694017081097
597,Amazon,112-3772048-5617827,2025-08-27,3005,,,02IQJG1T,1,2025-08-29,15.8893997372821
616,Amazon,114-8904504-5153005,2025-09-16,3005,,,1009810,1,2025-09-17,-0.572399958840013
632,Amazon,,2025-11-03,,,,241022,1,2025-11-04,37.9799995422363
661,Belmont Butchery,,2025-12-15,Cash,oldmanwalking,,103595,1,2025-12-15,7.12809991836548
650,Chewy.com,5061386080,2025-11-29,2466,fedex,,575794,1,2025-11-30,14.3699998855591
654,Chewy.com,5063807250,2025-12-03,5933,fedex,,100429,1,2025-12-04,16.9799995422363
654,Chewy.com,5063807250,2025-12-03,5933,fedex,,999910,1,2025-12-04,37.439998626709
657,Chewy.com,5066865032,2025-12-08,5933,fedex,,100429,1,2025-12-11,16.9799995422363
667,Chewy.com,5085237420,2026-01-12,5933,fedex,,575794,2,2026-01-14,28.7399997711182
667,Chewy.com,5085237420,2026-01-12,5933,fedex,,999910,1,2026-01-14,39.0699996948242
684,Chewy.com,,2026-02-09,5933,fedex,,168580,1,2026-02-11,18.9899997711182
684,Chewy.com,,2026-02-09,5933,fedex,,575794,1,2026-02-11,14.3699998855591
684,Chewy.com,,2026-02-09,5933,fedex,,999910,1,2026-02-11,38.254997253418
574,Costco Glen Allen,1222885870,2025-09-11,3005,,,894679,1,2025-09-08,65
624,Costco Glen Allen,,2025-10-09,2466,,,952912,1,2025-10-19,27.9899997711182
624,Costco Glen Allen,,2025-10-09,2466,,,954930,1,2025-10-19,17.9899997711182
629,Costco Glen Allen,1237247325,2025-11-15,2466,,,952912,1,2025-11-14,32.9900016784668
638,Costco Glen Allen,,2025-11-04,,,,024719,1,2025-11-04,9.98999977111816
638,Costco Glen Allen,,2025-11-04,,,,141323,1,2025-11-04,14.9899997711182
638,Costco Glen Allen,,2025-11-04,,,,954930,1,2025-11-04,17.9899997711182
660,Costco Glen Allen,,2025-12-12,Cash,oldmanwalking,,954930,1,2025-12-13,18.9899997711182
669,Costco Glen Allen,,2026-01-01,5933,car,,188755,1,2026-01-12,4.48999977111816
669,Costco Glen Allen,,2026-01-01,5933,car,,1919326,1,2026-01-12,28.4899997711182
669,Costco Glen Allen,,2026-01-01,5933,car,,194643,1,2026-01-12,20.9899997711182
669,Costco Glen Allen,,2026-01-01,5933,car,,954930,1,2026-01-12,18.9899997711182
683,Costco Glen Allen,,2026-02-03,5933,oldmanwalking,,614422,1,2026-02-12,17.9899997711182
691,Costco Glen Allen,1269993605,2026-03-11,CHASE,fedex,513949903459,954930,1,2026-03-15,21.4899997711182
699,Costco Glen Allen,,2026-04-09,5933,fedex,,210120,1,9999-12-31,0
699,Costco Glen Allen,,2026-04-09,5933,fedex,,522965,1,9999-12-31,0
699,Costco Glen Allen,,2026-04-09,5933,fedex,,952912,1,9999-12-31,0
699,Costco Glen Allen,,2026-04-09,5933,fedex,,954930,1,9999-12-31,0
611,Costco Midlothian,1222886710,2025-09-08,3005,,,000860,1,2025-09-12,3.96000003814697
611,Costco Midlothian,1222886710,2025-09-08,3005,,,522965,1,2025-09-12,26.9899997711182
611,Costco Midlothian,1222886710,2025-09-08,3005,,,952912,1,2025-09-12,32.9900016784668
617,Costco Midlothian,1224682440,2025-09-17,3005,,,210120,1,2025-09-22,25.1561693423483
619,Costco Midlothian,,2025-09-19,3005,,,954930,1,2025-09-23,19.5838993792109
640,Fresh Chili Company,FCC-439711,2025-11-05,5933,,,569163,1,2025-11-12,10.9499998092651
643,Fresh Chili Company,FCC-300949,2024-10-28,3005,,,624543,1,2024-11-05,0
658,Google Fi,GS.3154-4383-9660,2025-12-08,5933,fedex,451684887450,BSP7S3,1,2025-12-20,49.9900054931641
696,Girl Scouts of the Commonwealth of Virginia,,2026-03-15,5933,oldmanwalking,,070337,1,2026-03-15,5
622,Kroger, Lombardi,,2025-10-02,5933,,,004011,2.7,2025-10-01,1.47950005531311
622,Kroger, Lombardi,,2025-10-02,5933,,,004068,1,2025-10-01,0.990000009536743
622,Kroger, Lombardi,,2025-10-02,5933,,,050312,1,2025-10-01,11.9799995422363
622,Kroger, Lombardi,,2025-10-02,5933,,,060933,1,2025-10-01,3.99000000953674
622,Kroger, Lombardi,,2025-10-02,5933,,,089301,1,2025-10-01,3.99000000953674
622,Kroger, Lombardi,,2025-10-02,5933,,,241939,1,2025-10-01,3.39000010490417
622,Kroger, Lombardi,,2025-10-02,5933,,,306792,1,2025-10-01,4.48999977111816
622,Kroger, Lombardi,,2025-10-02,5933,,,460707,1,2025-10-01,1.99000000953674
622,Kroger, Lombardi,,2025-10-02,5933,,,611614,1,2025-10-01,8.28999996185303
622,Kroger, Lombardi,,2025-10-02,5933,,,850218,1,2025-10-01,1.25
623,Kroger, Lombardi,,2025-10-09,5933,,,000860,1,2025-10-08,0.109999999403954
623,Kroger, Lombardi,,2025-10-09,5933,,,004011,2.3,2025-10-08,1.62800002098083
623,Kroger, Lombardi,,2025-10-09,5933,,,004664,2.3,2025-10-08,4.4318995475769
623,Kroger, Lombardi,,2025-10-09,5933,,,050312,1,2025-10-08,5.98999977111816
623,Kroger, Lombardi,,2025-10-09,5933,,,060933,1,2025-10-08,2.99000000953674
623,Kroger, Lombardi,,2025-10-09,5933,,,089301,1,2025-10-08,3.99000000953674
623,Kroger, Lombardi,,2025-10-09,5933,,,200276,1,2025-10-08,4.48999977111816
623,Kroger, Lombardi,,2025-10-09,5933,,,347139,1,2025-10-08,1.99000000953674
625,Kroger, Lombardi,,2025-10-03,5933,,,000860,1,2025-10-04,0.330000013113022
625,Kroger, Lombardi,,2025-10-03,5933,,,004011,2.4,2025-10-04,1.71599996089935
625,Kroger, Lombardi,,2025-10-03,5933,,,004664,1.9,2025-10-04,4.21360015869141
625,Kroger, Lombardi,,2025-10-03,5933,,,010098,1,2025-10-04,7.3899998664856
625,Kroger, Lombardi,,2025-10-03,5933,,,241939,1,2025-10-04,3.39000010490417
625,Kroger, Lombardi,,2025-10-03,5933,,,318108,1,2025-10-04,4.48999977111816
625,Kroger, Lombardi,,2025-10-03,5933,,,650191,1,2025-10-04,5.98999977111816
625,Kroger, Lombardi,,2025-10-03,5933,,,898760,2,2025-10-04,2.39000010490417
625,Kroger, Lombardi,,2025-10-03,5933,,,972934,1,2025-10-04,3.49000000953674
627,Kroger, Lombardi,,2025-10-09,5933,,,004699,1,2025-10-10,1.49000000953674
627,Kroger, Lombardi,,2025-10-09,5933,,,006138,1,2025-10-09,6.12949991226196
627,Kroger, Lombardi,,2025-10-09,5933,,,044700,1,2025-10-09,0
627,Kroger, Lombardi,,2025-10-09,5933,,,050312,1,2025-10-09,5.98999977111816
627,Kroger, Lombardi,,2025-10-09,5933,,,101009,1,2025-10-09,2.39000010490417
627,Kroger, Lombardi,,2025-10-09,5933,,,105007,1,2025-10-09,2.39000010490417
627,Kroger, Lombardi,,2025-10-09,5933,,,241939,2,2025-10-09,5.38000011444092
631,Kroger, Lombardi,,2025-10-19,5933,,,177963,1,2025-10-23,1.69999992847443
631,Kroger, Lombardi,,2025-10-19,5933,,,898760,2,2025-10-23,2.39000010490417
633,Kroger, Lombardi,,2025-10-30,5933,,,004011,2,2025-10-30,1.47950005531311
633,Kroger, Lombardi,,2025-10-30,5933,,,004068,1,2025-10-30,2.1800000667572
633,Kroger, Lombardi,,2025-10-30,5933,,,004664,2.26,2025-10-30,5.33569955825806
633,Kroger, Lombardi,,2025-10-30,5933,,,007291,1,2025-10-30,5
633,Kroger, Lombardi,,2025-10-30,5933,,,010592,1,2025-10-30,4.98999977111816
633,Kroger, Lombardi,,2025-10-30,5933,,,015121,1,2025-10-30,6.98999977111816
633,Kroger, Lombardi,,2025-10-30,5933,,,039779,1,2025-10-30,6.98999977111816
633,Kroger, Lombardi,,2025-10-30,5933,,,060933,1,2025-10-30,3.69000005722046
633,Kroger, Lombardi,,2025-10-30,5933,,,061040,1,2025-10-30,2.49000000953674
633,Kroger, Lombardi,,2025-10-30,5933,,,611614,1,2025-10-30,5.35999965667725
633,Kroger, Lombardi,,2025-10-30,5933,,,750100,4.06,2025-10-30,6.06939935684204
633,Kroger, Lombardi,,2025-10-30,5933,,,850218,1,2025-10-30,2.5
633,Kroger, Lombardi,,2025-10-30,5933,,,898760,1,2025-10-30,4.78000020980835
635,Kroger, Lombardi,,2025-11-01,Gift Card,,,013401,1,2025-11-02,2.5
635,Kroger, Lombardi,,2025-11-01,Gift Card,,,044150,1,2025-11-02,7.98999977111816
635,Kroger, Lombardi,,2025-11-01,Gift Card,,,089301,2,2025-11-02,3.99000000953674
635,Kroger, Lombardi,,2025-11-01,Gift Card,,,098535,1,2025-11-02,3.98999977111816
635,Kroger, Lombardi,,2025-11-01,Gift Card,,,103232,1,2025-11-02,2.42000007629395
635,Kroger, Lombardi,,2025-11-01,Gift Card,,,241939,2,2025-11-02,6.78000020980835
639,Kroger, Lombardi,,2025-11-05,Gift Card & SNAP,,,004011,2.586667,2025-11-05,1.90300011634827
639,Kroger, Lombardi,,2025-11-05,Gift Card & SNAP,,,0427052,1,2025-11-05,3.99000000953674
639,Kroger, Lombardi,,2025-11-05,Gift Card & SNAP,,,050312,1,2025-11-05,5.98999977111816
639,Kroger, Lombardi,,2025-11-05,Gift Card & SNAP,,,060933,1,2025-11-05,2.98000001907349
639,Kroger, Lombardi,,2025-11-05,Gift Card & SNAP,,,648839,1,2025-11-05,3.5
644,Kroger, Lombardi,,2025-11-12,5933,,,002092,1,2025-11-16,3
644,Kroger, Lombardi,,2025-11-12,5933,,,004011,2.599048,2025-11-16,1.16600000858307
644,Kroger, Lombardi,,2025-11-12,5933,,,015121,1,2025-11-16,3.69000005722046
644,Kroger, Lombardi,,2025-11-12,5933,,,050312,1,2025-11-16,5.98999977111816
644,Kroger, Lombardi,,2025-11-12,5933,,,433203,1,2025-11-16,5.98999977111816
644,Kroger, Lombardi,,2025-11-12,5933,,,510719,5.38,2025-11-16,10.7062005996704
644,Kroger, Lombardi,,2025-11-12,5933,,,611614,1,2025-11-16,8.28999996185303
644,Kroger, Lombardi,,2025-11-12,5933,,,850218,1,2025-11-16,1.25
648,Kroger, Lombardi,,2025-12-10,5933,car,,001987,1,2025-12-09,4.48999977111816
648,Kroger, Lombardi,,2025-12-10,5933,car,,004065,1,2025-12-09,1.77999997138977
648,Kroger, Lombardi,,2025-12-10,5933,car,,004504,1,2025-12-09,1.99000000953674
648,Kroger, Lombardi,,2025-12-10,5933,car,,004664,1.967222,2025-12-09,3.32279992103577
648,Kroger, Lombardi,,2025-12-10,5933,car,,028858,1,2025-12-09,3.58999991416931
648,Kroger, Lombardi,,2025-12-10,5933,car,,040601,1,2025-12-09,1.88999998569489
648,Kroger, Lombardi,,2025-12-10,5933,car,,060914,2,2025-12-09,9.89000034332275
648,Kroger, Lombardi,,2025-12-10,5933,car,,067617,1,2025-12-09,2.39000010490417
648,Kroger, Lombardi,,2025-12-10,5933,car,,089301,1,2025-12-09,3.28999996185303
648,Kroger, Lombardi,,2025-12-10,5933,car,,089622,1,2025-12-09,2.19000005722046
648,Kroger, Lombardi,,2025-12-10,5933,car,,094068,1,2025-12-09,1.78999996185303
648,Kroger, Lombardi,,2025-12-10,5933,car,,174408,1,2025-12-09,4.3899998664856
648,Kroger, Lombardi,,2025-12-10,5933,car,,200276,1,2025-12-09,5.48999977111816
648,Kroger, Lombardi,,2025-12-10,5933,car,,294500,1,2025-12-09,5.48999977111816
648,Kroger, Lombardi,,2025-12-10,5933,car,,502681,1,2025-12-09,3.28999996185303
648,Kroger, Lombardi,,2025-12-10,5933,car,,510719,5.38,2025-12-09,11.0246000289917
648,Kroger, Lombardi,,2025-12-10,5933,car,,611614,1,2025-12-09,8.28999996185303
648,Kroger, Lombardi,,2025-12-10,5933,car,,898760,2,2025-12-09,2.39000010490417
655,Kroger, Lombardi,,2025-12-04,5933,oldmanwalking,,000014,1,9999-12-31,0
655,Kroger, Lombardi,,2025-12-04,5933,oldmanwalking,,004664,1.967222,2025-12-04,2.75880002975464
655,Kroger, Lombardi,,2025-12-04,5933,oldmanwalking,,028858,1,2025-12-04,3.58999991416931
663,Kroger, Lombardi,,2025-12-20,5933,oldmanwalking,,004011,2.599048,2025-12-18,1.42590010166168
663,Kroger, Lombardi,,2025-12-20,5933,oldmanwalking,,004504,1,2025-12-18,1.99000000953674
663,Kroger, Lombardi,,2025-12-20,5933,oldmanwalking,,040601,1,2025-12-18,1.88999998569489
663,Kroger, Lombardi,,2025-12-20,5933,oldmanwalking,,052013,1,2025-12-18,5.48999977111816
663,Kroger, Lombardi,,2025-12-20,5933,oldmanwalking,,502681,1,2025-12-18,2.99000000953674
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,004011,2.599048,2026-01-12,0.490000009536743
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,004068,1,2026-01-12,1.78999996185303
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,004093,1.144,2026-01-12,0.861299991607666
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,004419,1,2026-01-12,19.4899997711182
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,004608,1,2026-01-12,0.990000009536743
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,004664,1.967222,2026-01-12,8.64360046386719
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,004705,0.4444444,2026-01-12,1.8147999048233
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,007062,1,2026-01-12,2.58999991416931
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,011888,1,2026-01-12,2.99000000953674
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,015121,1,2026-01-12,6.98999977111816
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,020776,1,2026-01-12,2.49000000953674
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,033279,1,2026-01-12,5.48999977111816
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,044700,1,2026-01-12,2.49000000953674
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,050312,1,2026-01-12,5.98999977111816
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,060914,1,2026-01-12,9.89000034332275
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,084415,1,2026-01-12,1.88999998569489
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,089301,1,2026-01-12,16.4641914367676
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,092160,1,2026-01-12,5
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,103683,8,2026-01-12,3.59999990463257
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,137463,1,2026-01-12,1.78999996185303
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,403316,1,2026-01-12,3.78999996185303
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,460707,1,2026-01-12,1.99000000953674
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,502681,1,2026-01-12,3.19000005722046
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,510719,5.38,2026-01-12,11.0843000411987
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,513753,1,2026-01-12,6.28999996185303
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,729811,1,2026-01-12,3.49000000953674
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,898760,1,2026-01-12,4.78000020980835
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,910110,1,2026-01-12,1.99000000953674
664,Kroger, Lombardi,,2026-01-12,Gift Card & 5933,car,,970404,1,2026-01-12,3
665,Kroger, Lombardi,,2025-12-22,5933,oldmanwalking,,004093,1.144,2025-12-24,1.71130013465881
665,Kroger, Lombardi,,2025-12-22,5933,oldmanwalking,,004705,0.4444444,2025-12-24,1.84969985485077
665,Kroger, Lombardi,,2025-12-22,5933,oldmanwalking,,089622,1,2025-12-24,2.19000005722046
666,Kroger, Lombardi,,2025-12-23,SNAP 0834,oldmanwalking,,040601,1,2025-12-24,1.8400000333786
666,Kroger, Lombardi,,2025-12-23,SNAP 0834,oldmanwalking,,898760,1,2025-12-24,2.39000010490417
668,Kroger, Lombardi,,2026-01-04,SNAP 0834,oldmanwalking,,004011,2.599048,2026-01-04,1.61318421363831
668,Kroger, Lombardi,,2026-01-04,SNAP 0834,oldmanwalking,,007062,1,2026-01-04,2.58999991416931
668,Kroger, Lombardi,,2026-01-04,SNAP 0834,oldmanwalking,,060933,1,2026-01-04,2.98000001907349
668,Kroger, Lombardi,,2026-01-04,SNAP 0834,oldmanwalking,,074500,1,2026-01-04,7.98999977111816
668,Kroger, Lombardi,,2026-01-04,SNAP 0834,oldmanwalking,,089301,1,2026-01-04,3.28999996185303
668,Kroger, Lombardi,,2026-01-04,SNAP 0834,oldmanwalking,,200276,1,2026-01-04,2.99000000953674
668,Kroger, Lombardi,,2026-01-04,SNAP 0834,oldmanwalking,,502681,1,2026-01-04,3.19000005722046
670,Kroger, Lombardi,,2026-01-04,5933,oldmanwalking,,050312,1,2026-01-05,5.98999977111816
670,Kroger, Lombardi,,2026-01-04,5933,oldmanwalking,,513753,1,2026-01-05,6.28999996185303
670,Kroger, Lombardi,,2026-01-04,5933,oldmanwalking,,898760,1,2026-01-05,2.39000010490417
670,Kroger, Lombardi,,2026-01-04,5933,oldmanwalking,,999901,1,2026-01-05,5.00000007450581E-02
671,Kroger, Lombardi,,2026-01-07,2466,oldmanwalking,,044700,1,2026-01-08,0
671,Kroger, Lombardi,,2026-01-07,2466,oldmanwalking,,050266,1,2026-01-08,1.99000000953674
671,Kroger, Lombardi,,2026-01-07,2466,oldmanwalking,,060903,1,2026-01-08,2.08999991416931
675,Kroger, Lombardi,,2026-01-13,5933,oldmanwalking,,027351,1,2026-01-14,2.99000000953674
675,Kroger, Lombardi,,2026-01-13,5933,oldmanwalking,,629096,1,2026-01-14,3.49000000953674
678,Kroger, Lombardi,,2026-01-27,7915,car,,003719,1,2026-01-28,3
678,Kroger, Lombardi,,2026-01-27,7915,car,,004705,0.4444444,9999-12-31,0
678,Kroger, Lombardi,,2026-01-27,7915,car,,050266,1,2026-01-28,1.99000000953674
678,Kroger, Lombardi,,2026-01-27,7915,car,,089622,1,2026-01-28,2.19000005722046
678,Kroger, Lombardi,,2026-01-27,7915,car,,134014,1,2026-01-28,125
678,Kroger, Lombardi,,2026-01-27,7915,car,,898760,1,2026-01-28,2.39000010490417
678,Kroger, Lombardi,,2026-01-27,7915,car,,999901,1,2026-01-28,5.00000007450581E-02
680,Kroger, Lombardi,,2026-02-02,7915,oldmanwalking,,503494,1,2026-02-03,4.19000005722046
681,Kroger, Lombardi,,2026-02-03,Cash + 5933,oldmanwalking,,177963,1,2026-02-03,1.5
682,Kroger, Lombardi,,2026-04-18,5933,car,,000721,1,9999-12-31,-1.5
682,Kroger, Lombardi,,2026-04-18,5933,car,,004011,2.599048,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,004068,1,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,004093,1.144,9999-12-31,-0.5
682,Kroger, Lombardi,,2026-04-18,5933,car,,004664,1.967222,9999-12-31,-0.400000005960464
682,Kroger, Lombardi,,2026-04-18,5933,car,,004705,0.52,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,006023,1,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,007062,2,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,010592,2,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,015121,2,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,020775,1,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,020776,1,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,033279,1,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,040601,1,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,044700,1,9999-12-31,-2.49000000953674
682,Kroger, Lombardi,,2026-04-18,5933,car,,050312,2,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,060914,2,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,078390,1,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,089301,2,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,089622,4,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,091487,1,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,106218,1,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,200276,1,9999-12-31,-0.600000023841858
682,Kroger, Lombardi,,2026-04-18,5933,car,,460707,1,9999-12-31,-0.400000005960464
682,Kroger, Lombardi,,2026-04-18,5933,car,,502681,1,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,510719,5.38,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,800522,1,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,801219,1,9999-12-31,0
682,Kroger, Lombardi,,2026-04-18,5933,car,,898760,2,9999-12-31,0
685,Kroger, Lombardi,,2026-02-04,SNAP 0834,oldmanwalking,,004011,2.6,2026-02-04,1.10740005970001
685,Kroger, Lombardi,,2026-02-04,SNAP 0834,oldmanwalking,,017201,1,2026-02-04,8.78999996185303
685,Kroger, Lombardi,,2026-02-04,SNAP 0834,oldmanwalking,,050266,1,2026-02-05,1.99000000953674
685,Kroger, Lombardi,,2026-02-04,SNAP 0834,oldmanwalking,,060903,1,2026-02-05,2.28999996185303
685,Kroger, Lombardi,,2026-02-04,SNAP 0834,oldmanwalking,,898760,1,2026-02-05,2.39000010490417
688,Kroger, Lombardi,,2026-02-10,5933,oldmanwalking,,004093,1.03,2026-02-13,1.01969993114471
688,Kroger, Lombardi,,2026-02-10,5933,oldmanwalking,,004705,0.34,2026-02-13,3.49000000953674
688,Kroger, Lombardi,,2026-02-10,5933,oldmanwalking,,044500,1,2026-02-13,0
688,Kroger, Lombardi,,2026-02-10,5933,oldmanwalking,,060914,1,2026-02-13,9.89000034332275
688,Kroger, Lombardi,,2026-02-10,5933,oldmanwalking,,089622,2,2026-02-13,4.38000011444092
688,Kroger, Lombardi,,2026-02-10,5933,oldmanwalking,,241939,1,2026-02-13,2.5
688,Kroger, Lombardi,,2026-02-10,5933,oldmanwalking,,898760,2,2026-02-13,0
690,Kroger, Lombardi,,2026-02-19,7915,oldmanwalking,,003719,1,2026-02-20,3
690,Kroger, Lombardi,,2026-02-19,7915,oldmanwalking,,004093,1.82,2026-02-20,1.8018000125885
690,Kroger, Lombardi,,2026-02-19,7915,oldmanwalking,,004705,0.78,2026-02-20,2.7221999168396
690,Kroger, Lombardi,,2026-02-19,7915,oldmanwalking,,089622,2,2026-02-20,4.38000011444092
690,Kroger, Lombardi,,2026-02-19,7915,oldmanwalking,,177963,2,2026-02-20,3.1800000667572
690,Kroger, Lombardi,,2026-02-19,7915,oldmanwalking,,502681,1,2026-02-20,2.99000000953674
690,Kroger, Lombardi,,2026-02-19,7915,oldmanwalking,,822270,1,2026-02-20,6.48999977111816
690,Kroger, Lombardi,,2026-02-19,7915,oldmanwalking,,898760,2,2026-02-20,4.78000020980835
692,Kroger, Lombardi,,2026-03-04,SNAP 0834,oldmanwalking,,004011,2.69,2026-03-04,1.31810009479523
692,Kroger, Lombardi,,2026-03-04,SNAP 0834,oldmanwalking,,004705,0.17,2026-03-04,0.589900016784668
692,Kroger, Lombardi,,2026-03-04,SNAP 0834,oldmanwalking,,097569,1,2026-03-04,7.98999977111816
692,Kroger, Lombardi,,2026-03-04,SNAP 0834,oldmanwalking,,502681,1,2026-03-04,2.99000000953674
692,Kroger, Lombardi,,2026-03-04,SNAP 0834,oldmanwalking,,999901,1,2026-03-04,5.00000007450581E-02
693,Kroger, Lombardi,,2026-03-05,SNAP 0834,oldmanwalking,,048854,1,2026-03-05,3
693,Kroger, Lombardi,,2026-03-05,SNAP 0834,oldmanwalking,,795410,1,2026-03-05,3.99000000953674
694,Kroger, Lombardi,,2026-03-08,SNAP 0834,oldmanwalking,,103232,1,2026-03-07,1.66999995708466
694,Kroger, Lombardi,,2026-03-08,SNAP 0834,oldmanwalking,,177963,1,2026-03-07,1.25
695,Kroger, Lombardi,,2026-03-13,5933,oldmanwalking,,004011,1.41,2026-03-13,0.549899995326996
695,Kroger, Lombardi,,2026-03-13,5933,oldmanwalking,,004093,1.2002,2026-03-13,1.39590001106262
695,Kroger, Lombardi,,2026-03-13,5933,oldmanwalking,,004705,1.8,2026-03-13,1.7092090845108
695,Kroger, Lombardi,,2026-03-13,5933,oldmanwalking,,038488,1,2026-03-13,2.99000000953674
695,Kroger, Lombardi,,2026-03-13,5933,oldmanwalking,,048793,1,2026-03-13,3
695,Kroger, Lombardi,,2026-03-13,5933,oldmanwalking,,060914,1,2026-03-13,8.75
695,Kroger, Lombardi,,2026-03-13,5933,oldmanwalking,,245289,1,2026-03-13,2.49000000953674
695,Kroger, Lombardi,,2026-03-13,5933,oldmanwalking,,502681,2,2026-03-13,2.89000010490417
695,Kroger, Lombardi,,2026-03-13,5933,oldmanwalking,,898760,2,2026-03-13,2.39000010490417
695,Kroger, Lombardi,,2026-03-13,5933,oldmanwalking,,999901,2,2026-03-13,0.100000001490116
698,Kroger, Lombardi,,2026-04-04,SNAP 0834,car,,002952,1,9999-12-31,0
698,Kroger, Lombardi,,2026-04-04,SNAP 0834,car,,003102,1,9999-12-31,0
698,Kroger, Lombardi,,2026-04-04,SNAP 0834,car,,004093,2,9999-12-31,0
698,Kroger, Lombardi,,2026-04-04,SNAP 0834,car,,007062,2,9999-12-31,0
698,Kroger, Lombardi,,2026-04-04,SNAP 0834,car,,050074,1,9999-12-31,0
698,Kroger, Lombardi,,2026-04-04,SNAP 0834,car,,060914,1,9999-12-31,0
698,Kroger, Lombardi,,2026-04-04,SNAP 0834,car,,084962,1,9999-12-31,0
698,Kroger, Lombardi,,2026-04-04,SNAP 0834,car,,085021,1,9999-12-31,0
698,Kroger, Lombardi,,2026-04-04,SNAP 0834,car,,091760,1,9999-12-31,0
698,Kroger, Lombardi,,2026-04-04,SNAP 0834,car,,898760,1,9999-12-31,0
572,Kroger, Stonebridge,,2025-07-27,3005,,,000860,1,2025-07-27,0.259999990463257
572,Kroger, Stonebridge,,2025-07-27,3005,,,018688,1,2025-07-27,5.48999977111816
572,Kroger, Stonebridge,,2025-07-27,3005,,,050312,1,2025-07-27,5.98999977111816
572,Kroger, Stonebridge,,2025-07-27,3005,,,149375,1,2025-07-27,10.9899997711182
573,Kroger, Stonebridge,,2025-08-02,3005,,,000860,1,2025-08-02,0.28999999165535
573,Kroger, Stonebridge,,2025-08-02,3005,,,018688,1,2025-08-02,4.98999977111816
573,Kroger, Stonebridge,,2025-08-02,3005,,,023502,1,2025-08-02,12.9899997711182
573,Kroger, Stonebridge,,2025-08-02,3005,,,149375,1,2025-08-02,10.9899997711182
582,Kroger, Stonebridge,,2025-08-23,3005,,,000860,1,2025-08-21,0.860000014305115
582,Kroger, Stonebridge,,2025-08-23,3005,,,001700,1,2025-08-21,4.49000024795532
582,Kroger, Stonebridge,,2025-08-23,3005,,,004011,2.7,2025-08-21,1.44099998474121
